title,url,type,lot,sale,date,location,currency,price,estimate_min,estimate_max,provenance,signature,technique,height,width,production_date,price_EUR,estimate_min_EUR,estimate_max_EUR,area,support,sale_title,sale_price,sale_price_EUR,prediction,general_technique,theme
après le bain,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-apres-le-bain-5839451-details.aspx,dibujo-acuarela,131,2889,2014-11-06,New York,USD,122500,40000,60000,"Estate of the artist; Fourth sale, Galerie Georges Petit, Paris, 2-4 July 1919, lot 327.",sello,pastel,70.3,52.7,1903,107800,35200,52800,3704.81,papel,Impressionist & Modern Works on Paper Sale,9907688,8718765.44,menor,pastel,mujer
paysage,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-paysage-5839458-details.aspx,dibujo-acuarela,138,2889,2014-11-06,New York,USD,68750,70000,100000,"Hector Brame, Paris (by 1899).",NA,pastel,26.5,44.2,1883,60500,61600,88000,1171.3000000000002,papel,Impressionist & Modern Works on Paper Sale,9907688,8718765.44,mayor,pastel,paisaje
femme s'essuyant,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-femme-sessuyant-5776189-details.aspx,dibujo-acuarela,51,3585,2014-03-26,Paris,EUR,265500,250000,350000,"Atelier de l'artiste; IIIeme vente, Galerie Georges Petit, Paris, 7-9 avril 1919, lot 186.",sello,carboncillo y sanguina,71.7,61.7,1897,265500,250000,350000,4423.89,papel,Oeuvres Modernes sur papier,6948950,6948950,correcta,"resto",mujer
femme à sa toilette,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-femme-a-sa-toilette-5766608-details.aspx,dibujo-acuarela,209,1508,2014-02-05,London,GBP,290500,250000,350000,"René de Gas, Paris.",NA,pastel y carboncillo,69.5,79,1897,325360.00000000006,280000,392000.00000000006,5490.5,papel,Impressionist/Modern Works on Paper,5392100,6039152.000000001,correcta,pastel,mujer
femme tenant un chapeau à la ma...,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-femme-tenant-un-chapeau-a-5766354-details.aspx,dibujo-acuarela,2,1505,2014-02-04,London,GBP,506500,200000,300000,"The artist's studio; second sale, Galerie Georges Petit, Paris, 11-13 December 1918, lot 181.",sello,pastel,48.8,63.6,1885,567280,224000.00000000003,336000.00000000006,3103.68,papel,Impressionist/Modern Evening Sale,152016000,170257920.00000003,menor,pastel,mujer
cavalier,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-cavalier-5745677-details.aspx,dibujo-acuarela,4,3567,2013-12-03,Paris,EUR,25000,25000,35000,"Atelier de l'artiste; IIIeme vente, Galerie Georges Petit, Paris, 7-9 avril 1919, lot 95.",sello,pastel y carboncillo,31.6,24.7,NA,25000,25000,35000,780.52,papel,Art Impressionniste et Moderne,10197275,10197275,correcta,pastel,hípica
après le bain,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-apres-le-bain-5734223-details.aspx,dibujo-acuarela,137,2789,2013-11-06,New York,USD,52500,30000,50000,"Estate of the artist; Fourth sale, Galerie Georges Petit, Paris, 2-4 July 1918, lot 318.",sello,carboncillo,59,44.8,1885,46200,26400,44000,2643.2,papel,Impressionist & Modern Works on Paper Sale,10837250,9536780,menor,"resto",mujer
etude de rideau; femme assise d...,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-etude-de-rideau-femme-assise-5737587-details.aspx,dibujo-acuarela,157,3443,2013-11-05,New York,USD,112500,100000,150000,"Estate of the artist; Fourth sale, Galerie Georges Petit, Paris, 2-4 July 1919, lot 133, a-c.",sello,carboncillo,47,30.5,1880,99000,88000,132000,1433.5,papel,A Dialogue Through Art: Works from the Jan Krugier Collection Day Sale,21199000,18655120,correcta,"resto",mujer
plage à la marée basse,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-plage-a-la-maree-basse-5698008-details.aspx,dibujo-acuarela,170,1132,2013-06-19,London,GBP,85875,30000,50000,"The artist's estate; fourth sale, Galerie Georges Petit, Paris, 2-4 July 1919, lot 48a (illustrated p. 43).",sello,pastel,27.4,39.8,1869,96180.00000000001,33600,56000.00000000001,1090.5199999999998,papel,Impressionist/Modern Works on Paper,4927525,5518828.000000001,menor,pastel,paisaje
trois danseuses dans les coulis...,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-trois-danseuses-dans-les-coulis-5678085-details.aspx,dibujo-acuarela,108,2783,2013-05-09,New York,USD,291750,250000,350000,"Estate of the artist; Third sale, Galerie Georges Petit, Paris, 7-9 April 1919, lot 258.",sello,carboncillo,63.9,50,1905,256740,220000,308000,3195,papel,Impressionist & Modern Works on Paper,8212625,7227110,correcta,"resto",bailarina
"après le bain, femme nue s'essu...",https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-apres-le-bain-femme-nue-5665346-details.aspx,dibujo-acuarela,13,3546,2013-04-11,Paris,EUR,301500,200000,300000,"Atelier de l'artiste; IIIeme vente, Galerie Georges Petit, Paris, 7-9 avril 1919, lot 309.",sello,carboncillo,62.8,60.4,1897,301500,200000,300000,3793.12,papel,Oeuvres Modernes sur papier,5969925,5969925,menor,"resto",mujer
marée montante,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-maree-montante-5650891-details.aspx,dibujo-acuarela,294,1104,2013-02-07,London,GBP,55250,50000,70000,"The artist's atelier sale, Paris, 2-4 July 1919, lot 50a (illustrated).",sello,pastel,23.5,31.5,1869,61880.00000000001,56000.00000000001,78400.00000000001,740.25,papel,Impressionist/Modern Works on Paper,8213375,9198980,correcta,pastel,paisaje
studies of figures on horses,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-studies-of-figures-on-horses-5636610-details.aspx,dibujo-acuarela,154,2609,2012-12-12,New York,USD,5000,4000,6000,NA,sello,lápiz,31.8,48.9,NA,4400,3520,5280,1555.02,papel,Christie's Interiors,2814187,2476484.56,correcta,"resto",estudio/copia
etude de danseuse,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-etude-de-danseuse-5616024-details.aspx,dibujo-acuarela,106,2595,2012-11-08,New York,USD,482500,300000,400000,"Estate of the artist; Third sale, Galerie Georges Petit, Paris, 9 April 1919, lot 338.",sello,tiza negra y blanca,45.4,28.5,1873,424600,264000,352000,1293.8999999999999,papel,Impressionist and Modern Works on Paper,12411925,10922494,menor,"resto",bailarina
groupe de danseuses,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-groupe-de-danseuses-5616032-details.aspx,dibujo-acuarela,114,2595,2012-11-08,New York,USD,458500,400000,600000,"Estate of the artist; Second sale, Galerie Georges Petit, Paris, 11-13 December 1918, lot 287.",sello,carboncillo,103.5,72.5,1897,403480,352000,528000,7503.75,papel,Impressionist and Modern Works on Paper,12411925,10922494,correcta,"resto",bailarina
femme accoudée,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-femme-accoudee-5616045-details.aspx,dibujo-acuarela,127,2595,2012-11-08,New York,USD,43750,30000,50000,"Estate of the artist; Fourth sale, Galerie Georges Petit, Paris, 2-4 July 1919, lot 154.",sello,carboncillo,50.6,32.4,NA,38500,26400,44000,1639.44,papel,Impressionist and Modern Works on Paper,12411925,10922494,correcta,"resto",mujer
danseuse,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-danseuse-5582990-details.aspx,dibujo-acuarela,103,5467,2012-06-21,London,GBP,51650,40000,60000,"Acquired by the parents of the present owner probably circa 1950, and thence by descent.",firma,pastel y carboncillo,31.6,22.5,1885,57848.00000000001,44800.00000000001,67200,711,papel,Impressionist/Modern Works on Paper,8338950,9339624,correcta,pastel,bailarina
danseuses,https://www.christies.com/lotfinder/paintings/edgar-degas-danseuses-5553449-details.aspx,pintura,7,2554,2012-05-01,New York,USD,2546500,1500000,2500000,"Ambroise Vollard, Paris (acquired from the artist, by 1914).",firma,pastel,65.4,54,1895,2240920,1320000,2200000,3531.6000000000004,papel,Impressionist and Modern Art Evening Sale,117086000,103035680,menor,pastel,bailarina
autoportrait,https://www.christies.com/lotfinder/paintings/edgar-degas-autoportrait-5532357-details.aspx,pintura,10,8049,2012-02-07,London,GBP,713250,350000,450000,"The artist's studio, Paris.",sello,óleo,47,32,1857,798840.0000000001,392000.00000000006,504000.00000000006,1504,papel,Impressionist / Modern Evening Sale,97814150,109551848.00000001,menor,óleo,retrato
danseuse rajustant ses épaulett...,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-danseuse-rajustant-ses-epaulett-5532384-details.aspx,dibujo-acuarela,37,8049,2012-02-07,London,GBP,2281250,3000000,4000000,"Galeries Durand-Ruel, Paris (no. 4827), by whom acquired from the artist on 25 November 1898.",firma,pastel,44.5,35.6,1897,2555000.0000000005,3360000.0000000005,4480000,1584.2,papel,Impressionist / Modern Evening Sale,97814150,109551848.00000001,mayor,pastel,bailarina
femme se coiffant,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-femme-se-coiffant-5532397-details.aspx,dibujo-acuarela,50,8049,2012-02-07,London,GBP,421250,350000,450000,"The artist's studio; second sale, Galerie Georges Petit, Paris, 11-13 December 1918, lot 261.",sello,pastel y carboncillo,61.3,82,1894,471800.00000000006,392000.00000000006,504000.00000000006,5026.5999999999995,papel,Impressionist / Modern Evening Sale,97814150,109551848.00000001,correcta,pastel,mujer
danseuse vue de face,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-danseuse-vue-de-face-5492890-details.aspx,dibujo-acuarela,109,2478,2011-11-02,New York,USD,74500,60000,80000,"Estate of the artist; Third sale, Galeries George Petit, Paris, 7-9 April 1919, lot 126-2.",sello,pastel y carboncillo,32.1,24.8,1883,65560,52800,70400,796.08,papel,Impressionist and Modern Works on Paper,6419250,5648940,correcta,pastel,bailarina
tête florentine (d'après un tab...,https://www.christies.com/lotfinder/paintings/edgar-degas-tete-florentine-5493009-details.aspx,pintura,258,2479,2011-11-02,New York,USD,64900,40000,60000,"Henri Fevre (nephew of the artist); sale, Hôtel Drouot, Paris, 22 June 1925, lot 70.",NA,óleo,41.2,33,1858,57112,35200,52800,1359.6000000000001,papel,Impressionist and Modern Day Sale,23303550,20507124,menor,óleo,estudio/copia
femme s'épongeant le dos,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-femme-sepongeant-le-dos-5493600-details.aspx,dibujo-acuarela,9,2477,2011-11-01,New York,USD,3218500,3500000,5500000,"Estate of the artist; First sale, Galerie Georges Petit, Paris, 6-8 May 1918, lot 231.",sello,pastel,70,60,1895,2832280,3080000,4840000,4200,papel,Impressionist and Modern Evening Sale,140773500,123880680,mayor,pastel,mujer
danseuse debout,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-danseuse-debout-5459320-details.aspx,dibujo-acuarela,105,7975,2011-06-22,London,GBP,313250,180000,250000,"Louis Vauxcelles, Paris.",firma,pastel y carboncillo,31.8,23,1885,350840.00000000006,201600.00000000003,280000,731.4,papel,Impressionist/Modern Works on Paper,6823625,7642460.000000001,menor,pastel,bailarina
etude de nu,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-etude-de-nu-5459324-details.aspx,dibujo-acuarela,109,7975,2011-06-22,London,GBP,97250,70000,100000,"The artist's studio; fourth sale, Galerie Georges Petit, Paris, 2-4 July 1919, lot 174.",sello,carboncillo,73,60.1,NA,108920.00000000001,78400.00000000001,112000.00000000001,4387.3,papel,Impressionist/Modern Works on Paper,6823625,7642460.000000001,correcta,"resto",estudio/copia
alexis rouart,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-alexis-rouart-5432708-details.aspx,dibujo-acuarela,116,2438,2011-05-05,New York,USD,194500,250000,350000,"Louis Heim, Paris.",firma,pastel y carboncillo,56.5,40,1895,171160,220000,308000,2260,papel,Impressionist and Modern Works on Paper,13737950,12089396,mayor,pastel,retrato
"après le bain, femme s'essuyant...",https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-apres-le-bain-femme-sessuyant-5432733-details.aspx,dibujo-acuarela,141,2438,2011-05-05,New York,USD,56250,70000,90000,"Estate of the artist; Second sale, Galerie Georges Petit, Paris, 11-13 December 1918, lot 321.",sello,carboncillo,41.9,26.4,NA,49500,61600,79200,1106.1599999999999,papel,Impressionist and Modern Works on Paper,13737950,12089396,mayor,"resto",mujer
scène de ballet,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-scene-de-ballet-5432735-details.aspx,dibujo-acuarela,143,2438,2011-05-05,New York,USD,158500,150000,200000,"Estate of the artist; Second sale, Galeries Georges Petit, Paris, 11-13 December 1918, lot 59.",sello,"pastel, acuarela, Conté crayon negro y lápiz",30.5,61.9,1880,139480,132000,176000,1887.95,papel,Impressionist and Modern Works on Paper,13737950,12089396,correcta,pastel,bailarina
"danseuse, les bras levés et ram...",https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-danseuse-les-bras-leves-et-5402289-details.aspx,dibujo-acuarela,407,7954,2011-02-10,London,GBP,82850,60000,80000,"The artist's studio, second sale, Galerie Georges Petit, Paris, 11-13 December 1918, lot 331 (illustrated p. 188).",sello,carboncillo y tiza blanca,44.9,24.4,NA,92792.00000000001,67200,89600.00000000001,1095.56,papel,Impressionist/Modern Day Sale,13889550,15556296.000000002,menor,"resto",bailarina
danseuse rattachant sa ceinture...,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-danseuse-rattachant-sa-ceinture-5406928-details.aspx,dibujo-acuarela,229,7953,2011-02-10,London,GBP,39650,30000,40000,"The artist's studio, third sale, Galerie Georges Petit, Paris, 7-9 April 1919, lot 137 (illustrated p. 117; one of four).",sello,tiza negra,31,25,NA,44408.00000000001,33600,44800.00000000001,775,papel,Impressionist/ModernWorks on Paper,7098050,7949816.000000001,correcta,"resto",bailarina
femme nue se coiffant,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-femme-nue-se-coiffant-5406930-details.aspx,dibujo-acuarela,231,7953,2011-02-10,London,GBP,145250,100000,150000,"Lucien Henraux, Paris, by whom acquired directly from the artist.",firma,pastel y carboncillo,36.2,56,1893,162680.00000000003,112000.00000000001,168000.00000000003,2027.2000000000003,papel,Impressionist/ModernWorks on Paper,7098050,7949816.000000001,correcta,pastel,mujer
danseuse tirant son maillot (la...,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-danseuse-tirant-son-maillot-5406955-details.aspx,dibujo-acuarela,256,7953,2011-02-10,London,GBP,277250,150000,200000,"Georges Charpentier, Paris; his sale, Hôtel Drouot, Paris, 11 April 1907, lot 34.",firma,pastel y carboncillo,26.8,29.7,1883,310520.00000000006,168000.00000000003,224000.00000000003,795.96,papel,Impressionist/ModernWorks on Paper,7098050,7949816.000000001,menor,pastel,bailarina
danseuse au repos,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-danseuse-au-repos-5406956-details.aspx,dibujo-acuarela,257,7953,2011-02-10,London,GBP,241250,150000,200000,"Martin Le Roy, Paris.",firma,pastel y carboncillo,30.7,47.5,1879,270200,168000.00000000003,224000.00000000003,1458.25,papel,Impressionist/ModernWorks on Paper,7098050,7949816.000000001,menor,pastel,bailarina
danseuses jupes jaunes (deux da...,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-danseuses-jupes-jaunes-5407007-details.aspx,dibujo-acuarela,9,7951,2011-02-09,London,GBP,5417250,3000000,5000000,"Galeries Durand-Ruel, Paris (no. 3942), by whom acquired directly from the artist on 15 October 1896.",firma,pastel y carboncillo,60.2,42.4,1896,6067320.000000001,3360000.0000000005,5600000.000000001,2552.48,papel,Impressionist/Modern Evening Sale,61880550,69306216,menor,pastel,bailarina
danseuse de dos,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-danseuse-de-dos-5384694-details.aspx,dibujo-acuarela,4,5609,2010-12-02,Paris,EUR,82600,50000,70000,"Atelier de l'artiste; IVème vente, Galerie Georges Petit, Paris, 2-4 juillet 1919, lot 278a.",sello,tiza negra,34.8,19,1885,82600,50000,70000,661.1999999999999,papel,Art Impressionniste et Moderne,8048825,8048825,menor,"resto",bailarina
etudes de nu et de draperie,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-etudes-de-nu-et-de-5384697-details.aspx,dibujo-acuarela,7,5609,2010-12-02,Paris,EUR,15000,7000,10000,Atelier de l'artiste.,sello,lápiz,23.4,18.6,1859,15000,7000,10000,435.24,papel,Art Impressionniste et Moderne,8048825,8048825,menor,"resto",estudio/copia
"après le bain, femme s'essuyant...",https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-apres-le-bain-femme-sessuyant-5384719-details.aspx,dibujo-acuarela,29,5609,2010-12-02,Paris,EUR,27400,15000,20000,"Atelier de l'artiste; IVème vente, Galerie Georges Petit, Paris, 2-4 juillet 1919, lot 143.",sello,tiza negra y blanca,62.1,48,NA,27400,15000,20000,2980.8,papel,Art Impressionniste et Moderne,8048825,8048825,menor,"resto",mujer
deux danseuses évoluant,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-deux-danseuses-evoluant-5364136-details.aspx,dibujo-acuarela,117,2353,2010-11-04,New York,USD,422500,350000,550000,"Estate of the artist; Second sale, Galerie Georges Petit, Paris, 11-13 December 1918, lot 160.",sello,pastel y carboncillo,61.9,47.9,1889,371800,308000,484000,2965.0099999999998,papel,Impressionist and Modern Works on Paper,11283200,9929216,correcta,pastel,bailarina
paysage de l'orne,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-paysage-de-lorne-5364146-details.aspx,dibujo-acuarela,127,2353,2010-11-04,New York,USD,98500,100000,150000,"De Nöé, Ménil-Hubert.",NA,"pastel, lápiz, tinta",27.7,42.2,1884,86680,88000,132000,1168.94,papel,Impressionist and Modern Works on Paper,11283200,9929216,mayor,pastel,paisaje
femme nue s'essuyant,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-femme-nue-sessuyant-5364149-details.aspx,dibujo-acuarela,130,2353,2010-11-04,New York,USD,386500,300000,500000,"Estate of the artist; Third sale, Galerie Georges Petit, Paris, 7-9 April 1919, lot 74.",sello,pastel y carboncillo,49.8,32.1,1895,340120,264000,440000,1598.58,papel,Impressionist and Modern Works on Paper,11283200,9929216,correcta,pastel,mujer
ludovic halévy trouve madame ca...,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-ludovic-halevy-trouve-madame-ca-5369381-details.aspx,dibujo-acuarela,28,2352,2010-11-03,New York,USD,746500,400000,600000,"Ludovic Halévy, Paris (acquired from the artist).",firma,"pastel, lápiz, tinta",26.7,22.9,1876,656920,352000,528000,611.43,papel,Impressionist and Modern Evening Sale,231439500,203666760,menor,pastel,retrato
"danseuse debout, vue de dos",https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-danseuse-debout-vue-de-dos-5369412-details.aspx,dibujo-acuarela,59,2352,2010-11-03,New York,USD,362500,300000,500000,"Galerie Durand-Ruel et Cie., Paris.",firma,lápiz y tiza,41.9,31.3,1872,319000,264000,440000,1311.47,papel,Impressionist and Modern Evening Sale,231439500,203666760,correcta,"resto",bailarina
etude pour la programme de la s...,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-etude-pour-la-programme-de-5347489-details.aspx,dibujo-acuarela,24,2340,2010-09-21,New York,USD,43750,12000,18000,"Estate of the artist; Fourth sale, Galerie Georges Petit, Paris, 2-4 July 1919, lot 257b.",sello,carboncillo,24.4,31.6,1884,38500,10560,15840,771.04,papel,Impressionist Modern,2100837,1848736.56,menor,"resto",estudio/copia
etude de danseuse,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-etude-de-danseuse-5333964-details.aspx,dibujo-acuarela,187,7858,2010-06-24,London,GBP,67250,60000,80000,"The artist's studio; Second Sale, Galerie Georges Petit, Paris, 11-13 December 1918, lot 229 (one of two).",sello,carboncillo y tiza blanca,31.7,23.8,NA,75320,67200,89600.00000000001,754.46,papel,Impressionist/Modern Works on Paper,6848050,7669816.000000001,correcta,"resto",bailarina
"paysage, effet du soir",https://www.christies.com/lotfinder/paintings/edgar-degas-paysage-effet-du-soir-5334004-details.aspx,pintura,317,7859,2010-06-24,London,GBP,27500,20000,30000,"Jeanne Fèvre, Nice; sale, Galerie Charpentier, Paris, 12 June 1934, lot 122.",NA,óleo,19.3,31.2,1857,30800.000000000004,22400.000000000004,33600,602.16,papel,Impressionist/Modern Day Sale,12787500,14322000.000000002,correcta,óleo,paisaje
danseuse à l'éventail,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-danseuse-a-leventail-5313300-details.aspx,dibujo-acuarela,59,2311,2010-05-04,New York,USD,722500,600000,800000,"Estate of the artist, Paris; second sale, Galerie Georges Petit, Paris, 11-13 December 1918, lot 97.",sello,pastel,47,61.6,1894,635800,528000,704000,2895.2000000000003,papel,Impressionist/ Modern Evening Sale,111370500,98006040,correcta,pastel,bailarina
jockey,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-jockey-5289203-details.aspx,dibujo-acuarela,296,7832,2010-02-03,London,GBP,56450,50000,70000,"The artist's studio, third sale, Galerie Georges Petit, Paris, 7-9 April, 1919, lot 99a (illustrated p. 79).",sello,carboncillo,24.8,32.3,NA,63224.00000000001,56000.00000000001,78400.00000000001,801.04,papel,Impressionist/Modern Works on Paper,6974637,7811593.44,correcta,"resto",hípica
"danseuse, vue de dos",https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-danseuse-vue-de-dos-5289204-details.aspx,dibujo-acuarela,297,7832,2010-02-03,London,GBP,61250,50000,70000,"The artist's studio, third sale, Galerie Georges Petit, Paris, 7-9 April 1919, lot 136.3 (illustrated p. 116).",sello,pastel y carboncillo,31,23.5,NA,68600,56000.00000000001,78400.00000000001,728.5,papel,Impressionist/Modern Works on Paper,6974637,7811593.44,correcta,pastel,bailarina
"anne de clèves, d'après hans ho...",https://www.christies.com/lotfinder/paintings/edgar-degas-anne-de-cleves-dapres-hans-5289234-details.aspx,pintura,414,7833,2010-02-03,London,GBP,169250,80000,120000,"Galerie Durand-Ruel, Paris (nos. 5170 & 1290).",NA,óleo,65.3,48.3,1861,189560.00000000003,89600.00000000001,134400,3153.99,lienzo,Impressionist/Modern Day Sale,10652500,11930800.000000002,menor,óleo,retrato
sous-bois,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-sous-bois-5268492-details.aspx,dibujo-acuarela,230,5583,2009-12-01,Paris,EUR,85000,40000,60000,"Atelier de l'artiste; IVeme vente, Galerie Georges Petit, Paris, 2-4 juillet 1919, lot 28b.",sello,pastel,35.2,26.4,1871,85000,40000,60000,929.28,papel,Art Impressionniste et Moderne,19937237,19937237,menor,pastel,paisaje
femme s'essuyant,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-femme-sessuyant-5258456-details.aspx,dibujo-acuarela,106,2218,2009-11-04,New York,USD,80500,50000,70000,"Estate of the artist; Second Sale, Galerie Georges Petit, Paris, 11-13 December 1918, lot 367.",sello,boceto,49.8,31.8,1907,70840,44000,61600,1583.6399999999999,papel,Impressionist Modern Works on Paper,8369475,7365138,menor,"resto",mujer
danseuses,https://www.christies.com/lotfinder/paintings/edgar-degas-danseuses-5258555-details.aspx,pintura,22,2216,2009-11-03,New York,USD,10722500,7000000,9000000,"Eugène Blot, Paris; sale, Hôtel Drouot, Paris, 10 May 1906, lot 91.",firma,pastel,51.1,40,1896,9435800,6160000,7920000,2044,papel,Impressionist/Modern Evening Sale,65674000,57793120,menor,pastel,bailarina
"copy after gozzoli's ""destructi...",https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-copy-after-gozzolis-destructi-5230979-details.aspx,dibujo-acuarela,36,2198,2009-09-22,New York,USD,8125,2000,3000,Estate of the artist.,sello,lápiz,14,18.7,1859,7150,1760,2640,261.8,papel,Impressionist/Modern,1661625,1462230,menor,"resto",estudio/copia
"trois danseuses en maillot, les...",https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-trois-danseuses-en-maillot-les-5219974-details.aspx,dibujo-acuarela,112,7736,2009-06-24,London,GBP,169250,150000,200000,"The artist's estate; second sale, Galerie Georges Petit, Paris, 11-13 December 1918, lot 259 (illustrated p. 152).",sello,carboncillo,77.8,50.6,NA,189560.00000000003,168000.00000000003,224000.00000000003,3936.68,papel,Impressionist/Modern Works on Paper,3432600,3844512.0000000005,correcta,"resto",bailarina
rené de gas (frère de l'artiste...,https://www.christies.com/lotfinder/paintings/edgar-degas-rene-de-gas-5202724-details.aspx,pintura,16,5563,2009-05-20,Paris,EUR,73000,70000,100000,"René de Gas, Paris (par descendane).",sello,peinture à l'essence,30.5,23,1859,73000,70000,100000,701.5,papel,Art Impressionniste et Moderne,5346012,5346012,correcta,"resto",retrato
"copie d'après ""la sainte famill...",https://www.christies.com/lotfinder/paintings/edgar-degas-copie-dapres-la-sainte-famill-5202733-details.aspx,pintura,25,5563,2009-05-20,Paris,EUR,85000,40000,60000,"Edgar Degas, Paris; IIe vente, Hôtel Drouot, Paris, 16 novembre 1918, lot 61 (décrit comme 'Ecole Moderne').",NA,óleo,55,45.4,1866,85000,40000,60000,2497,lienzo,Art Impressionniste et Moderne,5346012,5346012,menor,óleo,estudio/copia
portrait de rené degas,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-portrait-de-rene-degas-5199332-details.aspx,dibujo-acuarela,112,2166,2009-05-07,New York,USD,170500,40000,60000,"Anon. sale, Hôtel Drouot, Paris, 24 November 1964, lot 32.",firma,lápiz,31.1,24.1,1855,150040,35200,52800,749.5100000000001,papel,Impressionist and Modern Works on Paper,5147000,4529360,menor,"resto",retrato
tête de femme,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-tete-de-femme-5199336-details.aspx,dibujo-acuarela,116,2166,2009-05-07,New York,USD,194500,150000,200000,"Estate of the artist; Fourth sale, Galerie Georges Petit, Paris, 2-4 July 1919, lot 17.",sello,pastel,35.9,30.8,1883,171160,132000,176000,1105.72,papel,Impressionist and Modern Works on Paper,5147000,4529360,correcta,pastel,mujer
trois danseuses,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-trois-danseuses-5199344-details.aspx,dibujo-acuarela,124,2166,2009-05-07,New York,USD,218500,250000,350000,"Nina Lebel, Paris.",firma,pastel y carboncillo,79.7,56.5,1890,192280,220000,308000,4503.05,papel,Impressionist and Modern Works on Paper,5147000,4529360,mayor,pastel,bailarina
"après le bain, femme s'essuyant...",https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-apres-le-bain-femme-sessuyant-5202903-details.aspx,dibujo-acuarela,15,2164,2009-05-06,New York,USD,5906500,4000000,6000000,"Estate of the artist; First sale, Galerie Georges Petit, Paris, 6-8 May 1918, lot 299.",sello,pastel,68.9,54.6,1893,5197720,3520000,5280000,3761.9400000000005,papel,Impressionist and Modern Evening Sale,102767000,90434960,correcta,pastel,mujer
paysage d'italie vu par une luc...,https://www.christies.com/lotfinder/paintings/edgar-degas-paysage-ditalie-vu-par-une-5157326-details.aspx,pintura,1,1209,2009-02-25,Paris,EUR,457000,300000,400000,Atelier de l'artiste.,NA,óleo,36.7,32,1857,457000,300000,400000,1174.4,papel,Collection Yves Saint Laurent et Pierre Bergé,373935500,373935500,menor,óleo,paisaje
femme à sa toilette,https://www.christies.com/lotfinder/paintings/edgar-degas-femme-a-sa-toilette-5157329-details.aspx,pintura,4,1209,2009-02-25,Paris,EUR,553000,200000,300000,Atelier de l'artiste.,sello,pastel,31.6,41.5,1883,553000,200000,300000,1311.4,papel,Collection Yves Saint Laurent et Pierre Bergé,373935500,373935500,menor,pastel,mujer
"copie d'après le haut relief ""n...",https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-copie-dapres-le-haut-relief-5147242-details.aspx,dibujo-acuarela,2,5535,2008-12-02,Paris,EUR,12500,10000,15000,Atelier de l'artiste.,sello,lápiz,47.7,30.3,1855,12500,10000,15000,1445.3100000000002,papel,Art Impressionniste et Moderne,5200737,5200737,correcta,"resto",estudio/copia
